Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Digikey,Description
"C1, C5, C6, C7",4,100nf,C_0805_2012Metric,,,,smt,399-C0805C104K5RAC7210CT-ND,
C2,1,470pF,C_0805_2012Metric,,,,smt,399-C0805C471K5RAC7800CT-ND,
"C3, C9",2,10uF,C_0805_2012Metric,,,,smt,399-C0805C106K8PAC7800CT-ND,
C4,1,1uF,C_0805_2012Metric,,,,smt,399-C0805C105K4RAC7800CT-ND,
C8,1,3.3uF,C_0805_2012Metric,,,,smt,399-C0805C335K8PAC7800CT-ND,
J1,1,Amiga_Conn,PinHeader_1x10_P2.54mm_Vertical,,,,tht,2057-PH1-10-UA-ND,"Generic connector, single row, 01x10, script generated (kicad-library-utils/schlib/autogen/connector/)"
J2,1,Reset Hole,ResetHole,,,Yes,tht,,"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)"
"JP1, JP2, JP3",3,~,SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm,,,,tht,,"3-pole Solder Jumper, pins 1+2 closed/bridged"
M1,1,ADNS-9800,ADNS-9800,,,,tht,Aliexpress Get Lens Also,
Q1,1,IRLML6302TRPBF,SOT-23,,,,smt,IRLML6302PBFCT-ND / DMG2301LK-7DICT-ND,
"R1, R2, R3",3,1.8K,R_0805_2012Metric,,,,smt,2019-RK73H2ATTD1801FCT-ND,
"R4, R5, R6",3,3.3K,R_0805_2012Metric,,,,smt,2019-RK73H2ATTD3301FCT-ND,
SW1,1,LEFT,SW_D2F-01F,,,,tht,SW501-ND,
SW2,1,MID,SW_D2F-01F,,,,tht,SW501-ND,
SW3,1,RIGHT,SW_D2F-01F,,,,tht,SW501-ND,
SW4,1,RESET,SW_PUSH_6mm_H4.3mm,,,,tht,450-1650-ND,Omron B3FS 6x6mm single pole normally-open tactile switch
U1,1,SeeeduinoXIAO,Seeeduino XIAO-MOUDLE14P-2.54-21X17.8MM,,,,smt,1597-102010328-ND,
U2,1,LT1963AxST-3.3,SOT-223-3_TabPin2,,,,smt,AP7361C-33E-13DICT-ND,"3.3V, 1.5A, Low Noise, Fast Transient Response LDO Regulator, SOT-223"
"U3, U4",2,74LVC2T45DC,VSSOP-8_2.3x2mm_P0.5mm,,,,smt,1727-4578-1-ND,"Dual supply translating transceiver, 3-state, 2-bit, VSSOP-8"
