Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5, C6, C7",0805,4,100nf,
C2,0805,1,470pF,
"C3, C9",0805,2,10uF,
C4,0805,1,1uF,
C8,0805,1,3.3uF,
J1,PinHeader_1x10_P2.54mm_Vertical,1,Amiga_Conn,
M1,ADNS-9800,1,ADNS-9800,
Q1,SOT-23,1,IRLML6302TRPBF,
"R1, R2, R3",0805,3,1.8K,
"R4, R5, R6",0805,3,3.3K,
SW1,SW_D2F-01F,1,LEFT,
SW2,SW_D2F-01F,1,MID,
SW3,SW_D2F-01F,1,RIGHT,
SW4,SW_PUSH_6mm_H4.3mm,1,RESET,
U1,Seeeduino XIAO-MOUDLE14P-2.54-21X17.8MM,1,SeeeduinoXIAO,
U2,SOT-223-3_TabPin2,1,LT1963AxST-3.3,
"U3, U4",VSSOP-8_2.3x2mm_P0.5mm,2,74LVC2T45DC,
